,Factory Name,Factory Type,Product Type Type,"Nike, Inc. Brand(s)",Supplier Group,Address,City,State,Country / Region,Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers
553,"Yegin Industry (Vietnam) Co., Ltd",FINISHED GOODS,Equipment,Nike,YEGIN,Lot No 36A 37A,Tan Phuoc District,Tin Giang,Vietnam,SE ASIA,658.0,579.0,75.0,0.0
554,YICHANE CO.LTD,FINISHED GOODS,Equipment,Nike,YICHANE,"NO.34, LANE 172, CHENGSI ST",Tainan,Tainan,Taiwan,N ASIA,27.0,14.0,11.0,0.0
555,"Yichun Yisen Industry Co., Ltd",FINISHED GOODS - COMPONENTS,Footwear,Nike,POU CHEN,Economic and Technological Development Zone,Yichun city,Jiangxi,China,N ASIA,3295.0,2823.0,98.0,0.0
556,YKK (THAILAND) CO LTD,MATERIALS,Apparel,Nike,YKK,689 Sukhumvit Rd KM 35,Samutprakarn,Samut Prakan,Thailand,SE ASIA,2.0,1.0,1.0,2.5
557,YKK Taiwan Chung Li 2nd Factory,MATERIALS,Apparel,Nike,YKK,No 12 CHI LIN NORTH ROAD CHUNG LI,Taoyuan,Taoyuan,Taiwan,N ASIA,2.0,1.0,1.0,0.0
558,YKK Taiwan Chung Li 3rd Factory,MATERIALS,Apparel,Nike,YKK,No 28 Heding Rd,Taoyuan,Taoyuan,Taiwan,N ASIA,2.0,1.0,1.0,0.0
559,YKK VIETNAM CO LTD,MATERIALS,Apparel,Nike,YKK,Lot 104 106 108 Amata Road,Bien Hoa City,Ðng Nai,Vietnam,SE ASIA,2.0,1.0,1.0,2.5
560,"YongZhou Kaixiang Shoetown Footwear Co., Ltd. NOT A FINISHED GOODS FACILITY",FINISHED GOODS - COMPONENTS,Footwear,Nike,SHOETOWN,"#421, Dongxin Road, BaiyashiTown",Yongzhou,Hunan,China,N ASIA,1067.0,980.0,92.0,0.0
561,"YongZhou Kaixin Shoetown Footwear Co., Ltd.",FINISHED GOODS,Footwear,Nike,SHOETOWN,Intersection of Zhenxing Rd,Yong Zhou,Hunan,China,N ASIA,603.0,541.0,90.0,0.0
562,You Young,FINISHED GOODS - COMPONENTS,Footwear,Nike,YOU YOUNG,14 Sinsan ro,Busan,Busan Gwangyeogsi,South Korea,N ASIA,174.0,72.0,24.0,0.0
563,YOU YOUNG (VIETNAM),MATERIALS,Footwear,Nike,YOU YOUNG,Lot L VIET HUNG 2 INDUSTRIAL PARK,"Ben Cat, Binh Duong",Bình Duong,Vietnam,SE ASIA,285.0,230.0,15.0,0.0
564,YOUNGIL (INDONESIA),MATERIALS,Footwear,Nike,YOUNGIL LEATHER,GRAHA BALARAJA INDUSTRIAL ESTATE E3 E5,Tangerang Banten,Banten,Indonesia,S ASIA,299.0,219.0,9.0,0.0
565,YOUNGIL (VIETNAM),MATERIALS,Footwear,Nike,YOUNGIL LEATHER,LOT A6 1 4 THANH THANH CONG IP AN HOA WARD,TRANG BANG,Tây Ninh,Vietnam,SE ASIA,1137.0,1010.0,36.0,0.0
566,YRC TEXTILE,MATERIALS,Apparel,Nike,YRC TEXTILE,134 Moo 6 Sathakit 1 St Road,Kratoomband,Samut Sakhon,Thailand,SE ASIA,2533.0,1410.0,56.0,2.5
567,YSA  MOL,FINISHED GOODS,Apparel,Nike,YESIM,STR CEBANOV  3a,TARAKLIA,Gagauzia-- Unitate,Moldova,EMEA,425.0,324.0,95.0,0.0
568,"Yuan Ling Knitting Industrial CO., LTD.",MATERIALS,Footwear,Nike,YUAN LING,202 ChangLu Road,Changhua City,Changhua,Taiwan,N ASIA,213.0,96.0,21.0,2.5
569,"Yumei Shantou Garments Co., Ltd",FINISHED GOODS,Apparel,Nike,EAGLE NICE,No 48 Heng Shan Rd,Shantou,Guangdong,China,N ASIA,2458.0,1987.0,80.0,0.0
570,"Zao Zhuang RuiXing Shoes Co., Ltd",FINISHED GOODS,Footwear,Nike,CHANGSHIN,No3 FuXing East Road Economic Development Zone,Zaozhuang City,Shandong,China,N ASIA,1216.0,1118.0,99.0,0.0
571,"Zhangjiagang New HuaYuan Accessones Co., Ltd",FINISHED GOODS,Apparel,Nike,HUAYUAN ACCESSORIES,No 1 Henan Road Tangshi Office Yangshe Town,Zhangjiagang,Jiangsu,China,N ASIA,97.0,86.0,83.0,0.0
572,"ZHANGJIAJIE EXCELLENCE SPORT PRODUCTS CO., LTD.",FINISHED GOODS,Equipment,Nike,ALPUS,Building NO1 2 3 Qilonggang Industrial Zone,Zhangjiajie,Hunan,China,N ASIA,253.0,203.0,78.0,0.0
573,"Zhangpu Hengxin Bags Co., Ltd",FINISHED GOODS,Apparel,Nike,ZHANGPU HENGXIN,NO 87 Changfa Road Changqiao Town Zhangpu,Zhangzhou,Fujian,China,N ASIA,191.0,172.0,96.0,0.0
574,"ZheJiang Clis Fashion Co., Ltd.",FINISHED GOODS,Apparel,Nike,ZHEJIANG XIANCHEN IMPORT AND EXPORT,No 10 Bldg No 39 Xiangyuan Road,Hangzhou,Zhejiang,China,N ASIA,41.0,26.0,0.0,0.0
575,Zhejiang Guangtai Delta Socks Co. Ltd.,FINISHED GOODS,Equipment,Nike,DELTA,36 Kaixiang Avenue,Datang Street Zhuji,Zhejiang,China,N ASIA,205.0,13.0,65.0,0.0
576,ZHIXIANG KNITTING CLOTHING FACTORY,FINISHED GOODS,Apparel,Nike,ZHIXIANG KNITTING FACTORY,NO 9 TONGGUANG ROAD,YAN CHENG,Jiangsu,China,N ASIA,297.0,274.0,86.0,0.0
577,Zhuji Hengan Socks Co Ltd,FINISHED GOODS,Apparel,Nike,HENGTAI,No 8 Tianyuan West Road Datang Street,zhuji,Zhejiang,China,N ASIA,88.0,65.0,50.0,0.0
578,"Zhuji Hengtai Knitting & Textile Co., Ltd.",FINISHED GOODS,Equipment,Nike,DELTA,No 10 Tianyuan West Road,Zhuji,Zhejiang,China,N ASIA,141.0,111.0,59.0,0.0
579,"QINGDAO MAITE FITNESS EQUIPMENT CO.,LTD",FINISHED GOODS,Equipment,Nike,QINGDAO MAITE,500m North of Yangshankuang Village,Qingdao,Shandong,China,N ASIA,16.0,8.0,13.0,0.0
580,"Qingdao Qien Sporting Goods Co.,Ltd",FINISHED GOODS,Equipment,Nike,QINGDAO QIEN,Number 8 Yanghui Road,Qingdao,Shandong,China,N ASIA,37.0,24.0,19.0,0.0
581,PT. GREENTEX INDONESIA UTAMA II,FINISHED GOODS,Apparel,Nike,PT.GREENTEX,Jalan Raya Banjaran KM 16 Koma 5 Desa Batu Karut,Kab. Bandung,Jawa Barat,Indonesia,S ASIA,1788.0,1653.0,77.0,0.0
582,UN-AVAILABLE CO. LTD.,FINISHED GOODS,Apparel,Nike,UN AVAILABLE,Part of Lot 1 bar 3 Street No 7,Ho Chi Minh City,Ho Chi Minh,Vietnam,SE ASIA,573.0,453.0,63.0,1.0
583,"Qingdao Licheng Health Technology Co., Ltd.",FINISHED GOODS,Equipment,Nike,QINGDAO LICHENG,No 257 Chengma Road,Qingdao,Shandong,China,N ASIA,37.0,26.0,19.0,0.0
584,"WUXI BROTHERS PACKAGING CO., LTD ",FINISHED GOODS,Equipment,Nike,"WUXI BROTHERS PACKAGING CO., LTD",No 88,Wuxi,Jiangsu,China,N ASIA,21.0,14.0,57.0,0.0
585,"FASHION GARMENTS 2 CO., LTD. - TAN PHU BRANCH",FINISHED GOODS,Apparel,Nike,FASHION GARMENTS,Street 3 Tan Phu Industrial Zone Tan Phu District,Tan Phu,Ðng Nai,Vietnam,SE ASIA,3137.0,2751.0,80.0,0.0
586,"Fujian Zhuojian Garment Technology Co., Ltd",FINISHED GOODS,Apparel,Nike,FUJIAN ZHUOJIAN,Floor5 No4JinlongRoad,Quanzhou,Fujian,China,N ASIA,44.0,40.0,50.0,0.0
587,"Wenzhou Outlook Eyewear Co., Ltd",FINISHED GOODS,Equipment,Nike,WENZHOU OUTLOOK,Number 12  Shengye Rd  Lucheng District,Wenzhou,Zhejiang,China,N ASIA,29.0,19.0,50.0,0.0
588,Guangzhou Jin Hong Yuan Leather,FINISHED GOODS,Apparel,Nike,GUANGZHOU JIN HONG YUAN LEATHER,16 SANHE STREET JINGKOU ROAD SHILING TOWN HUADU DISTRICT,guangzhou,Guangdong,China,N ASIA,11.0,11.0,72.0,0.0
589,"JINGNING XUANCHEN TECHNOLOGY CO., LTD.",FINISHED GOODS,Apparel,Nike,JINGNING XUANCHEN TECHNOLOGY,99 Tuanjie East Road Hongxin Street Jingning County,Lishui,Zhejiang,China,N ASIA,68.0,59.0,85.0,0.0
590,Tiong Liong Vietnam (ZHONGJU INDUSTRIAL COMPANY),MATERIALS,Footwear,Nike,NAM LIONG,VIETNAM ZHONGJU INDUSTRIAL COMPANY LIMITED,Bau Bang District,Bình Duong,Vietnam,SE ASIA,185.0,77.0,17.2972972972973,2.5
591,Sung Shin Chemical,FINISHED GOODS,Equipment,Nike,JR286,28 Gunpocheomdansaneop 1 ro,Gunpo-si,Gyeonggido,South Korea,N ASIA,16.0,14.0,86.0,2.5
592,"DONGGUAN JINGSHENG GARMENTS CO.,LTD",FINISHED GOODS,Apparel,Nike,CRYSTAL,Building 3 No 6 Wanfeng Road,Dongguan ,Guangdong,China,N ASIA,266.0,262.0,59.0,0.0
593,Maxpro Sports Manufacturing Inc.,FINISHED GOODS,Equipment,Nike,MAXPRO,Phil Bright Corp Lot 1 Block 8,Bataan,Bataan,Philippines,N ASIA,295.0,261.0,44.0,0.0
594,Fashion Garments Company Limited,FINISHED GOODS,Apparel,Nike,FASHION GARMENTS,Tam Thang Industrial Zone,TAMKY,Qung Nam,Vietnam,SE ASIA,2185.0,1907.0,80.0,0.0
595,"Young Clothing (Cambodia) Co., Ltd",FINISHED GOODS,Apparel,Nike,YOUNG CLOTHING,Romlech Village Rolaing Krerl Commune,Phnom Penh,Kampong Spueu,Cambodia,SE ASIA,467.0,439.0,87.0,0.0
596,"FOREVER FUG GARMENT CO., LTD.",FINISHED GOODS,Apparel,Nike,FOREVER FUG,Lot BRoad127TbongAngVillage,Cambodia,Kampong Spueu,Cambodia,SE ASIA,830.0,783.0,90.0,2.0
597,TNG INVESTMENT AND TRADING JSC - DONG HY GARMENT,FINISHED GOODS,Apparel,Nike,TNG,Ngoi Cheo Hamlet Nam Hoa Commune Dong Hy District,,Thái Nguyên,Vietnam,SE ASIA,1005.0,940.0,75.0,0.0
598,Vertical Knits S.A. de C.V. (MDC - Campeche),FINISHED GOODS,Apparel,Nike,VERTICAL KNITS S.A,Avenida Baja Velocidad No 108,Colonial Campeche,Campeche,Mexico,AMERICAS,145.0,120.0,79.0,0.0
599,"Tremon Sporting Goods Enterprise Co.,Ltd",FINISHED GOODS,Equipment,Nike,TREMON,Road No 5 Trang Bang Industrial Park,Tay Ninh,Tây Ninh,Vietnam,SE ASIA,1775.0,1474.0,48.0,1.0
600,"Cixi SunRise Sporting Goods Co.,Ltd",FINISHED GOODS,Equipment,Nike,CIXI SUNRISE SPORTING GOODS,Bldg3 and Bldg6,cixi,Zhejiang,China,N ASIA,30.0,23.0,25.0,0.0
601,Zentrix Huamantla,FINISHED GOODS,Apparel,Nike,ZENTRIX,Calle Virgen de la Caridad 1,Huamantla,Tlaxcala,Mexico,AMERICAS,1331.0,1076.0,67.0,0.0
602,"JIANGSU NINGSHENG GARMENT CO.,LTD   ",FINISHED GOODS,Apparel,Nike,JIANGSU NINGSHENG GARMENT,No87 Renmin South Road Zhutang Town,WUXI,Jiangsu,China,N ASIA,100.0,98.0,79.0,0.0
